symbol,window,years,cagr,vol,sharpe,max_dd,dca_years,dca_final_value_over_invested,dca_n_contributions
SPY,full,33.46,0.1081,0.1856,0.646,-0.5519,33.46,8.797,403.0
QQQ,full,27.34,0.1067,0.2694,0.511,-0.8296,27.35,11.684,329.0
VOO,full,15.86,0.1486,0.1701,0.9,-0.3399,15.86,3.638,191.0
GSPC,full,98.26,0.0635,0.1891,0.42,-0.8619,98.26,185.879,1184.0
NDX,full,40.82,0.1451,0.2587,0.653,-0.829,40.82,40.039,490.0
SPY,test_F1,2.0,0.0828,0.2061,0.489,-0.1861,,,
SPY,test_F2,1.99,0.2399,0.1193,1.863,-0.0969,,,
SPY,test_F3,2.0,0.0717,0.1349,0.581,-0.1191,,,
SPY,test_F4,2.0,0.1679,0.1039,1.546,-0.0919,,,
SPY,test_F5,2.0,0.1193,0.1496,0.828,-0.1935,,,
SPY,test_F6,2.0,0.2337,0.2533,0.957,-0.3372,,,
SPY,test_F7,1.99,0.0162,0.1951,0.18,-0.245,,,
SPY,test_F8,1.99,0.2134,0.1637,1.263,-0.1876,,,
QQQ,test_F1,2.0,0.115,0.216,0.612,-0.161,,,
QQQ,test_F2,1.99,0.2716,0.1386,1.804,-0.1164,,,
QQQ,test_F3,2.0,0.142,0.1597,0.912,-0.1394,,,
QQQ,test_F4,2.0,0.1924,0.1357,1.365,-0.1204,,,
QQQ,test_F5,2.0,0.1785,0.1983,0.928,-0.228,,,
QQQ,test_F6,2.0,0.3743,0.2829,1.267,-0.2856,,,
QQQ,test_F7,1.99,0.0219,0.2612,0.214,-0.3483,,,
QQQ,test_F8,1.99,0.2325,0.2096,1.102,-0.2277,,,
VOO,test_F1,1.31,0.1267,0.2085,0.677,-0.1875,,,
VOO,test_F2,1.99,0.2402,0.1198,1.858,-0.0965,,,
VOO,test_F3,2.0,0.0697,0.1353,0.566,-0.12,,,
VOO,test_F4,2.0,0.1691,0.1038,1.557,-0.0917,,,
VOO,test_F5,2.0,0.1203,0.1493,0.836,-0.1948,,,
VOO,test_F6,2.0,0.234,0.2599,0.94,-0.3399,,,
VOO,test_F7,1.99,0.0168,0.1945,0.183,-0.2452,,,
VOO,test_F8,1.99,0.2144,0.1582,1.307,-0.1869,,,
